code,name,endpoint
us-east-1,US East (N. Virginia),https://ec2.us-east-1.amazonaws.com/ping
us-east-2,US East (Ohio),https://ec2.us-east-2.amazonaws.com/ping
us-west-1,US West (N. California),https://ec2.us-west-1.amazonaws.com/ping
us-west-2,US West (Oregon),https://ec2.us-west-2.amazonaws.com/ping
af-south-1,Africa (Cape Town),https://ec2.af-south-1.amazonaws.com/ping
ap-east-1,Asia Pacific (Hong Kong),https://ec2.ap-east-1.amazonaws.com/ping
ap-south-1,Asia Pacific (Mumbai),https://ec2.ap-south-1.amazonaws.com/ping
ap-northeast-2,Asia Pacific (Seoul),https://ec2.ap-northeast-2.amazonaws.com/ping
ap-southeast-1,Asia Pacific (Singapore),https://ec2.ap-southeast-1.amazonaws.com/ping
ap-southeast-2,Asia Pacific (Sydney),https://ec2.ap-southeast-2.amazonaws.com/ping
ap-northeast-1,Asia Pacific (Tokyo),https://ec2.ap-northeast-1.amazonaws.com/ping
ap-northeast-3,Asia Pacific (Osaka),https://ec2.ap-northeast-3.amazonaws.com/ping
ca-central-1,Canada (Central),https://ec2.ca-central-1.amazonaws.com/ping
eu-central-1,Europe (Frankfurt),https://ec2.eu-central-1.amazonaws.com/ping
eu-west-1,Europe (Ireland),https://ec2.eu-west-1.amazonaws.com/ping
eu-west-2,Europe (London),https://ec2.eu-west-2.amazonaws.com/ping
eu-south-1,Europe (Milan),https://ec2.eu-south-1.amazonaws.com/ping
eu-west-3,Europe (Paris),https://ec2.eu-west-3.amazonaws.com/ping
eu-north-1,Europe (Stockholm),https://ec2.eu-north-1.amazonaws.com/ping
me-south-1,Middle East (Bahrain),https://ec2.me-south-1.amazonaws.com/ping
sa-east-1,South America (São Paulo),https://ec2.sa-east-1.amazonaws.com/ping
