code,name,endpoint
asia-east1,Taiwan,https://asia-east1-gce.cloudharmony.net/probe/ping.js
asia-east2,Hong Kong,https://asia-east2-gce.cloudharmony.net/probe/ping.js
asia-northeast1,Tokyo,https://asia-northeast1-gce.cloudharmony.net/probe/ping.js
asia-northeast2,Osaka,https://asia-northeast2-gce.cloudharmony.net/probe/ping.js
asia-northeast3,Seoul,https://asia-northeast3-gce.cloudharmony.net/probe/ping.js
asia-south1,Mumbai,https://asia-south1-gce.cloudharmony.net/probe/ping.js
asia-southeast1,Singapore,https://asia-southeast1-gce.cloudharmony.net/probe/ping.js
asia-southeast2,Jakarta,https://asia-southeast2-gce.cloudharmony.net/probe/ping.js
australia-southeast1,Sydney,https://australia-southeast1-gce.cloudharmony.net/probe/ping.js
europe-north1,Hamina (Finland),https://europe-north1-gce.cloudharmony.net/probe/ping.js
europe-west1,Belgium,https://europe-west1-gce.cloudharmony.net/probe/ping.js
europe-west2,London (UK),https://europe-west2-gce.cloudharmony.net/probe/ping.js
europe-west3,Frankfurt (Germany),https://europe-west3-gce.cloudharmony.net/probe/ping.js
europe-west4,Netherlands,https://europe-west4-gce.cloudharmony.net/probe/ping.js
europe-west6,Zurich (Switzerland),https://europe-west6-gce.cloudharmony.net/probe/ping.js
northamerica-northeast1,Montreal (Canada),https://northamerica-northeast1-gce.cloudharmony.net/probe/ping.js
southamerica-east1,São Paulo,https://southamerica-east1-gce.cloudharmony.net/probe/ping.js
us-central1,Iowa (USA),https://us-central1-gce.cloudharmony.net/probe/ping.js
us-east1,South Carolina (USA),https://us-east1-gce.cloudharmony.net/probe/ping.js
us-east4,Northern Virginia (USA),https://us-east4-gce.cloudharmony.net/probe/ping.js
us-west1,Oregon (USA),https://us-west1-gce.cloudharmony.net/probe/ping.js
us-west2,Los Angeles (USA),https://us-west2-gce.cloudharmony.net/probe/ping.js
us-west3,Salt Lake City (USA),https://us-west3-gce.cloudharmony.net/probe/ping.js
us-west4,Las Vegas (USA),https://us-west4-gce.cloudharmony.net/probe/ping.js
